X_id,objectid,project_name,address,status,description,image,project_url,project_type,image_alt_text,takedown_date,ward_name,ward_number,globalid,geometry
1,2,New Park at 225 Birmingham Street,225 Birmingham Street ,In progress,A new park is coming to 225 Birmingham Street. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-225-birmingham-street/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background,NA,Etobicoke-Lakeshore,3,4232e784-7369-4d8c-bc27-9e650aceccd7,"{'type': 'MultiPoint', 'coordinates': [[-79.5121754695418, 43.6012690103994]]}"
2,6,Toronto Island Park Master Plan ,1 Centre Island Park,In progress,"The Toronto Island Park Master Plan is being co-created with Indigenous rights holders, local stakeholders and the general public. Learn more about the project and how you can get involved.",https://www.toronto.ca/wp-content/uploads/2021/02/8dc7-toronto-island-park-master-plan-overview-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/toronto-island-park-master-plan/,Master Plan or Study,"Aerial photograph of Toronto Island in the summer, showing the Toronto Island Marina, green trees and Lake Ontario.",NA,Spadina-Fort York,10,923272da-4362-44e7-8fbd-4d876da2ada5,"{'type': 'MultiPoint', 'coordinates': [[-79.3745953905981, 43.6190417499816]]}"
3,7,New Park at 134 Portland Street ,134 Portland Street,In progress,A new park is coming to 134 Portland Street. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-on-portland-street/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Etobicoke-Lakeshore,3,4d595e2c-7738-437e-b0e8-e9f5c428403f,"{'type': 'MultiPoint', 'coordinates': [[-79.49798221044, 43.6197035102157]]}"
4,8,New Park at 30 Zorra Street,30 Zorra St,In progress,A new park is coming to 30 Zorra Street. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-30-zorra-street/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Etobicoke-Lakeshore,3,618b4ba7-6da6-46dd-b08e-02920fee7e81,"{'type': 'MultiPoint', 'coordinates': [[-79.5218058794994, 43.6198313500499]]}"
5,9,Grand Avenue Park ,1 Grand Ave,In progress,The City is improving Grand Avenue Park . Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/grand-avenue-park/,Park or Facility Improvements,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Etobicoke-Lakeshore,3,443a72e6-4e1d-429e-a446-8727377b87ef,"{'type': 'MultiPoint', 'coordinates': [[-79.4912675599397, 43.6214144598836]]}"
6,10,New Park at 1001 The Queensway,1001-1037 The Queensway,In progress,A new park is coming to 1001-1037 The Queensway. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/05/979c-new-park-graphic-banner-pathway-1536x507.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-1001-1037-the-queensway/,New Park,"A map showing the location of the new park at 1001-1037 The Queensway, circled in red. The park is located on south side of The Queensway, just west of Islington Avenue",NA,Etobicoke-Lakeshore,3,a234a852-b6d0-43bb-82f6-7bb4e3ab0c3a,"{'type': 'MultiPoint', 'coordinates': [[-79.5162931001887, 43.6229393002994]]}"
7,12,New Park at 300 The East Mall,300 The East Mall,In progress,A new park is coming to 300 The East Mall. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/01/969d-new-park-300-east-mall-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-300-the-east-mall/,New Park,An artist rendering of the new park coming to 300 The East Mall. The image shows the new park in the foreground with people walking through on the pathways. In the background is the surrounding mixed-use residential development.,NA,Etobicoke Centre,2,b8a3a865-b40b-458d-9e18-15364d462264,"{'type': 'MultiPoint', 'coordinates': [[-79.5574422803582, 43.637264260055]]}"
8,14,Rees Street Park,318 Queens Quay West,In progress,A new park is coming to 318 Queens Quay. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/04/8fb8-new-park-graphic-banner.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-318-queens-quay/,New Park,"An artist illustration of a new park. There are various park users in the park, strolling along the pathway, using a mobility device, and jogging. In the background is a small playground with children using the slides and swings. The Toronto skyline is pictured in the far background.",NA,Spadina-Fort York,10,cabd0440-b7aa-42be-8068-0b09ea5bdad8,"{'type': 'MultiPoint', 'coordinates': [[-79.3879426202811, 43.6387809398165]]}"
9,16,New Park at 10 Ordnance Street ,10 Ordnance Street ,In progress,A new park is coming to 10 Ordnance Street. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2023/04/8e1e-new-parks-10-ordnance-801-wellington-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-10-ordnance-street/,New Park,"A map showing the project site in red, with the new park at 801 Wellington Street West shown on the north side of the Garrison Crossing bridge and the new park at 10 Ordnance Street to the south side of the bridge. The Metrolinx construction area is shown with red hash marks on the east side of the new park at 10 Ordnance Street.",NA,Spadina-Fort York,10,f9a1464b-e828-4889-8865-5dc56f56e4d2,"{'type': 'MultiPoint', 'coordinates': [[-79.4085303096535, 43.6392548702778]]}"
10,17,Toronto Island Park Master Plan ,9 Queens Quay W,In progress,"The Toronto Island Park Master Plan is being co-created with Indigenous rights holders, local stakeholders and the general public. Learn more about the project and how you can get involved.",https://www.toronto.ca/wp-content/uploads/2021/02/8dc7-toronto-island-park-master-plan-overview-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/toronto-island-park-master-plan/,Master Plan or Study,"Aerial photograph of Toronto Island in the summer, showing the Toronto Island Marina, green trees and Lake Ontario.",NA,Spadina-Fort York,10,5439eb59-25fc-498b-9278-fbd65b599025,"{'type': 'MultiPoint', 'coordinates': [[-79.3757601894664, 43.6400516201303]]}"
11,20,Spring Garden Park Playground Improvements,32 Meadow Crest Road,In progress,The City is improving the playground at Spring Garden Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/12/94ef-spring-garden-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/spring-garden-park-playground-improvements/,Playground Improvements,"A photograph of Spring Garden Park Playground, which includes one slide, a swing set and a climber. The playground is surrounded by tall trees and grass",NA,Etobicoke-Lakeshore,3,d5782b79-b7f4-4223-a4e3-5bc2150f6be6,"{'type': 'MultiPoint', 'coordinates': [[-79.5135812599247, 43.6415991099689]]}"
12,22,New Parks in the Six Points Neighbourhood,,In progress,A group of new parks is coming to the Six Points neighbourhood. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,"https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-in-the-six-points-neighbourhood/#:~:text=A%20group%20of%20new%20parks,Points%20Park%20(1%2C600%20m2).",New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Etobicoke-Lakeshore,3,109b6be6-46f4-4d8f-b648-61246e49a345,"{'type': 'MultiPoint', 'coordinates': [[-79.5348438202238, 43.6421669298866]]}"
13,23,Victoria Memorial Square Park Improvements,10 Niagara Street,In progress,The City is improving Victoria Memorial Square Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/05/9720-victoria-memorial-square-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/victoria-memorial-square-park-improvements/,Park or Facility Improvements,"A photograph of Victoria Memorial Square Park, which shows mature trees and a long pedestrian sidewalk adjacent to the park in the foreground, and a monument and open law space in the background. The park is surrounded by residential apartment buildings.",NA,Spadina-Fort York,10,a72ac0b1-6cdd-41d8-b484-2c041714c1fe,"{'type': 'MultiPoint', 'coordinates': [[-79.4002103098357, 43.6424942302106]]}"
14,25,Osler Park Playground Improvements ,123 Argyle Street ,In progress,The City is improving Osler Plark Playground. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2020/01/8551-osler-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/osler-playground-park-improvements/,Playground Improvements,"Playground equipment, including monkey bars and slide, at Osler Playground Park.",NA,Spadina-Fort York,10,e2329e19-04e5-484c-8a7b-07eae23d57e0,"{'type': 'MultiPoint', 'coordinates': [[-79.4220942096562, 43.6463001001473]]}"
15,27,High Park Movement Strategy,,In progress,"The High Park Movement Strategy will rethink the travel network serving High Park in the context of the city's growing population, changing travel patterns, and the impacts of COVID-19.",https://www.toronto.ca/wp-content/uploads/2022/02/8bd1-high-park-movement-strategy-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/high-park-movement-strategy/,Master Plan or Study,Photo of pedestrians walking along Grenadier Pond in the spring in High Park.,NA,Parkdale-High Park,4,c3b36790-fbbe-49b9-bc72-17b1102116fc,"{'type': 'MultiPoint', 'coordinates': [[-79.4629493696876, 43.6465746898129]]}"
16,29,Charles G. Williams Park Improvements and Expansion,75 Wabash Avenue ,In progress,The City is improving Charles G. Williams Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2020/08/8f25-charles-g-williams-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/charles-g-williams-park-improvements-expansion/,Park or Facility Improvements,People playing on the playground equipment at Charles G. Williams Park,NA,Parkdale-High Park,4,ea93268f-fb51-43e7-b399-4eb5c6b7df91,"{'type': 'MultiPoint', 'coordinates': [[-79.4432944502935, 43.6476145901123]]}"
