ward_number,population,minority_population,low_income_population
1,115120,90130,14870
2,117200,37210,9215
3,139920,48675,15385
4,104715,30445,12510
5,115675,67120,17060
6,107355,56405,12350
7,111200,86975,16795
8,114820,42265,11650
9,104730,35215,11355
10,135400,70400,19100
11,102385,38445,15640
12,114095,39925,14305
13,116930,67145,26000
14,104555,35815,12000
15,101025,47415,12725
16,94335,59525,13620
17,112590,83870,16210
18,117130,83210,20895
19,108500,39225,12870
20,110095,67555,15350
21,111560,83025,14790
22,103690,85350,15265
23,94025,86675,11130
24,102755,78525,15060
25,101485,76755,7885
